rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name
1,389195,2,683,568,1,1,100.36323,35.44793,0.0003483136851321825,200.29073333740234,1,1.0,0.0,0.0,0.0,0.0,2,2,-0.114481114,13434587,Kankakee River
2,389763,3,684,567,2,1,177.14517,35.454132,0.0002738388800878669,200.25577545166016,1,1.0,0.0,0.0,0.0,0.0,3,3,-0.088572584,13434595,Kankakee River
3,390331,3,685,566,3,1,194.19916,35.459507,0.00024699186983698023,200.20726621611408,1,1.0,0.0,0.0,0.0,0.0,4,5,-0.9581309,13434609,Kankakee River
4,390330,3,685,565,3,2,218.9435,35.463737,0.000195847222655754,200.15930060302932,1,1.0,0.0,0.0,0.0,0.0,5,5,-0.75155956,13434609,Kankakee River
5,390898,3,686,564,3,3,150.3907,35.46891,0.0002872683631016701,200.11642112728128,1,1.0,0.0,0.0,0.0,0.0,6,5,-0.49895415,13434609,Kankakee River
6,390897,3,686,563,3,4,221.72578,35.472717,0.0001686030925537949,200.07321863669486,1,1.0,0.0,0.0,0.0,0.0,7,5,-0.31289592,13434609,Kankakee River
7,390896,4,686,562,3,5,100.2711,35.476017,0.000233924878798043,200.03583498376267,1,1.0,0.0,0.0,0.0,0.0,8,5,-0.15189746,13434609,Kankakee River
8,391465,4,687,562,3,6,101.76192,35.478085,0.000406610442646381,200.0123790781686,1,1.0,0.0,0.0,0.0,0.0,14,5,-0.050880957,13434609,Kankakee River
9,412484,1,724,528,4,1,110.48136,5.257519,0.0009828546500894326,204.430130557066,1,1.0,0.0,0.0,0.0,0.0,10,6,-1.0704385,13436935,None
10,411915,1,723,528,4,2,167.14427,5.276004,0.0009542147409867635,204.32154343727646,1,1.0,0.0,0.0,0.0,0.0,11,6,-0.9316257,13436935,None
11,411347,1,722,529,4,3,240.62915,5.3145905,0.0008024028620823582,204.16205190920513,1,1.0,0.0,0.0,0.0,0.0,12,6,-0.6418593,13436935,None
12,410779,1,721,530,4,4,253.02397,5.3491096,0.0006926168902767792,203.96897039023125,1,1.0,0.0,0.0,0.0,0.0,13,6,-0.38263795,13436935,None
13,410211,2,720,531,4,5,195.03589,5.387078,0.0008364808543584238,203.79372171388553,1,1.0,0.0,0.0,0.0,0.0,16,6,-0.097517945,13436935,None
14,391464,4,687,561,5,1,223.246,35.48193,0.00023792517762368727,199.97100162000623,1,1.0,0.0,0.0,0.0,0.0,15,7,-0.3700263,13434621,None
15,392032,4,688,560,5,2,177.86072,35.48744,0.00016669659348682086,199.91788577527967,1,1.0,0.0,0.0,0.0,0.0,27,7,-0.10079936,13434621,None
16,409642,2,719,531,6,1,205.65591,5.4421673,0.000837353532746236,203.63057792709873,1,1.0,0.0,0.0,0.0,0.0,17,8,-2.139213,13436875,None
