total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
7,1.000000000000000,1,1,1,7,44.69780876274379,1,,289135
22,1.000000000000000,1,1,2,15,-39.59201340397939,1,,288566
39,1.000000000000000,1,1,3,17,-19.78906853008371,1,,4720994
57,1.000000000000000,1,1,4,18,-18.87598946855400,1,,4720994
73,1.000000000000000,1,1,5,16,-18.02307654992150,1,,4720994
89,1.000000000000000,1,1,6,16,-17.20099462987582,1,,4720994
104,1.000000000000000,1,1,7,15,-10.78887532765634,1,,248653
123,1.000000000000000,1,1,8,19,17.75589189374378,1,,248653
145,1.000000000000000,1,1,9,22,-6.631824875792034,1,,338044
169,1.000000000000000,1,1,10,24,-7.215473325308466,1,,103608
191,1.000000000000000,1,1,11,22,5.581839587610489,1,,4743205
215,1.000000000000000,1,1,12,24,5.665213422322125,1,,4743205
239,1.000000000000000,1,1,13,24,5.552377738948280,1,,4748875
261,1.000000000000000,1,1,14,22,5.561162696606488,1,,4748875
283,1.000000000000000,1,1,15,22,5.412371566548501,1,,4748875
306,1.000000000000000,1,1,16,23,5.187039079079398,1,,4748875
330,1.000000000000000,1,1,17,24,4.810995346867259,1,,4748875
356,1.000000000000000,1,1,18,26,4.545886619481450,1,,4743185
380,1.000000000000000,1,1,19,24,3.913081811212720,1,,4743185
392,1.000000000000000,1,1,20,12,2.660591630420186,1,,4743185
439,1.000000000000000,1,1,21,47,3.871338652864978,1,,4743185
475,1.000000000000000,1,1,22,36,3.290622049167496,1,,4743185
508,1.000000000000000,1,1,23,33,2.904887491780187,1,,4743185
539,1.000000000000000,1,1,24,31,2.545889695870272,1,,4743185
568,1.000000000000000,1,1,25,29,2.469442392076189,1,,4743185
594,1.000000000000000,1,1,26,26,2.328859866099265,1,,4743185
620,1.000000000000000,1,1,27,26,2.254876856668403,1,,4743185
642,1.000000000000000,1,1,28,22,2.030214582245776,1,,4743185
666,1.000000000000000,1,1,29,24,2.054277738915829,1,,4743185
688,1.000000000000000,1,1,30,22,1.937200309502344,1,,4743185
711,1.000000000000000,1,1,31,23,1.906320115166892,1,,4743185
733,1.000000000000000,1,1,32,22,1.800177176861524,1,,4743185
755,1.000000000000000,1,1,33,22,1.679309344516867,1,,4743185
773,1.000000000000000,1,1,34,18,-1.576604327155536,1,,347292
786,1.000000000000000,1,1,35,13,-1.260569198765268,1,,347292
807,1.000000000000000,1,1,36,21,-1.435477274165720,1,,347292
813,1.000000000000000,1,1,37,6,-.6501930352258682,1,,346715
846,1.000000000000000,1,1,38,33,-1.310076603411687,1,,331935
852,1.000000000000000,1,1,39,6,-.4024659092026752,1,,290694
871,1.000000000000000,1,1,40,19,-1.329247394402103,1,,1778332
877,1.000000000000000,1,1,41,6,-.3023415263699576,1,,290694
889,1.000000000000000,1,1,42,12,-.9348904540254068,1,,824114
894,1.000000000000000,1,1,43,5,-.2252397746325983,1,,348987
899,1.000000000000000,1,1,44,5,-.1237751105852851,1,,290694
902,1.000000000000000,1,1,45,3,-.6961728275016981,1,,290694
905,1.000000000000000,1,1,46,3,-.4780691200716660,1,,290694
929,1.000000000000000,1,1,47,24,-.6577928706351202,1,,290694
934,1.000000000000000,1,1,48,5,-.2877262201007227,1,,290694
937,1.000000000000000,1,1,49,3,-.2110305512558170,1,,1737092
940,1.000000000000000,1,1,50,3,-.1945181295038196,1,,1737092
943,1.000000000000000,1,1,51,3,-.1789733924142638,1,,1737092
946,1.000000000000000,1,1,52,3,-.1645405372448181,1,,1737092
949,1.000000000000000,1,1,53,3,-.1513447376019030,1,,1737092
952,1.000000000000000,1,1,54,3,-.1393023125205559,1,,1737092
955,1.000000000000000,1,1,55,3,-.1283828237815214,1,,1737092
957,1.000000000000000,1,1,56,2,-.1176268796817510,1,,1737092
959,1.000000000000000,1,1,57,2,-.1085678432392854,1,,1737092
961,1.000000000000000,1,1,58,2,-.9984718953364791E-01,1,,1737092
