per,nseg,icalc,outseg,iupseg,iprior,nstrpts,flow,runoff,etsw,pptsw,roughch,roughbk,cdpth,fdpth,awdth,bwdth,hcond1,thickm1,elevup,width1,depth1,thts1,thti1,eps1,uhc1,hcond2,thickm2,elevdn,width2,depth2,thts2,thti2,eps2,uhc2
0,1,1,2,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.29973,35.44681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.28174,35.450478,0.0,0.0,0.0,0.0,0.0
0,2,1,3,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.28174,35.450478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.22981,35.455948,0.0,0.0,0.0,0.0,0.0
0,3,1,5,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.22981,35.455948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.00056,35.479126,0.0,0.0,0.0,0.0,0.0
0,4,1,6,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.47334,5.2501626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.71744,5.400064,0.0,0.0,0.0,0.0,0.0
0,5,1,7,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.00056,35.479126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.89433,35.489502,0.0,0.0,0.0,0.0,0.0
0,6,1,8,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.71744,5.428352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.91437,5.714555,0.0,0.0,0.0,0.0,0.0
0,7,1,9,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.89433,35.50098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.88214,35.503906,0.0,0.0,0.0,0.0,0.0
0,8,1,11,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.91437,6.111445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.29848,6.163862,0.0,0.0,0.0,0.0,0.0
0,9,1,12,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.88214,35.503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.81813,35.519794,0.0,0.0,0.0,0.0,0.0
0,10,1,13,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.2618,6.1753745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.2618,7.377927,0.0,0.0,0.0,0.0,0.0
0,11,1,15,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.29848,6.163862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.006,6.511393,0.0,0.0,0.0,0.0,0.0
0,12,1,16,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.81813,35.53194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.7267,35.540237,0.0,0.0,0.0,0.0,0.0
0,13,1,17,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.2618,8.8602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.38606,9.090151,0.0,0.0,0.0,0.0,0.0
0,14,1,18,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.2643,5.2779007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.48778,5.459094,0.0,0.0,0.0,0.0,0.0
0,15,1,19,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.006,6.511393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.43556,6.616434,0.0,0.0,0.0,0.0,0.0
