per,k,i,j,q,boundname
0,8,835,294,-279.42177372633023,wel_1362
0,8,839,293,-279.42177372633023,wel_1363
0,8,839,296,-279.42177372633023,wel_1364
0,8,835,300,-279.42177372633023,wel_1365
0,8,839,300,-279.42177372633023,wel_1366
0,8,721,226,-279.42177372633023,wel_1398
0,8,736,282,-279.42177372633023,wel_1399
0,8,747,213,-279.42177372633023,wel_1400
0,8,749,322,-279.42177372633023,wel_1401
0,8,749,323,-279.42177372633023,wel_1402
0,8,750,320,-279.42177372633023,wel_1403
0,8,748,319,-279.42177372633023,wel_1404
0,8,754,271,-279.42177372633023,wel_1405
0,8,749,263,-279.42177372633023,wel_1406
0,8,750,261,-279.42177372633023,wel_1407
0,8,755,222,-279.42177372633023,wel_1408
0,8,754,219,-279.42177372633023,wel_1409
0,8,756,219,-279.42177372633023,wel_1410
0,8,762,231,-279.42177372633023,wel_1411
0,8,763,266,-279.42177372633023,wel_1412
0,8,763,272,-279.42177372633023,wel_1413
0,8,761,279,-279.42177372633023,wel_1414
0,8,759,283,-279.42177372633023,wel_1415
0,8,760,295,-279.42177372633023,wel_1416
0,8,760,304,-279.42177372633023,wel_1417
0,8,758,318,-279.42177372633023,wel_1418
0,8,758,320,-279.42177372633023,wel_1419
0,8,752,322,-279.42177372633023,wel_1420
0,8,754,322,-279.42177372633023,wel_1421
0,8,756,322,-279.42177372633023,wel_1422
0,8,763,324,-279.42177372633023,wel_1423
0,8,764,328,-279.42177372633023,wel_1424
0,8,766,316,-279.42177372633023,wel_1425
0,8,765,303,-279.42177372633023,wel_1426
0,8,765,272,-279.42177372633023,wel_1427
0,8,766,273,-279.42177372633023,wel_1428
0,8,765,267,-279.42177372633023,wel_1429
0,8,767,267,-279.42177372633023,wel_1430
0,8,766,264,-279.42177372633023,wel_1431
0,8,784,212,-279.42177372633023,wel_1432
0,8,778,259,-279.42177372633023,wel_1433
0,8,778,256,-279.42177372633023,wel_1434
0,8,774,260,-279.42177372633023,wel_1435
0,8,775,290,-279.42177372633023,wel_1436
0,8,772,290,-279.42177372633023,wel_1437
0,8,774,293,-279.42177372633023,wel_1438
0,8,772,303,-279.42177372633023,wel_1439
0,8,771,313,-279.42177372633023,wel_1440
0,8,771,319,-279.42177372633023,wel_1441
0,8,778,312,-279.42177372633023,wel_1442
0,8,777,307,-279.42177372633023,wel_1443
0,8,776,304,-279.42177372633023,wel_1444
0,8,781,294,-279.42177372633023,wel_1445
0,8,778,290,-279.42177372633023,wel_1446
0,8,780,280,-279.42177372633023,wel_1447
0,8,785,279,-279.42177372633023,wel_1448
0,8,784,275,-279.42177372633023,wel_1449
0,8,784,271,-279.42177372633023,wel_1450
0,8,781,271,-279.42177372633023,wel_1451
0,8,784,263,-279.42177372633023,wel_1452
0,8,787,263,-279.42177372633023,wel_1453
0,8,782,254,-279.42177372633023,wel_1454
0,8,783,256,-279.42177372633023,wel_1455
0,8,787,256,-279.42177372633023,wel_1456
0,8,790,234,-279.42177372633023,wel_1457
0,8,794,231,-279.42177372633023,wel_1458
0,8,792,253,-279.42177372633023,wel_1459
0,8,796,253,-279.42177372633023,wel_1460
0,8,790,260,-279.42177372633023,wel_1461
0,8,795,260,-279.42177372633023,wel_1462
0,8,795,262,-279.42177372633023,wel_1463
0,8,795,263,-279.42177372633023,wel_1464
0,8,790,264,-279.42177372633023,wel_1465
0,8,793,264,-279.42177372633023,wel_1466
0,8,789,268,-279.42177372633023,wel_1467
0,8,791,268,-279.42177372633023,wel_1468
0,8,788,271,-279.42177372633023,wel_1469
0,8,789,273,-279.42177372633023,wel_1470
0,8,788,276,-279.42177372633023,wel_1471
0,8,793,272,-279.42177372633023,wel_1472
0,8,794,274,-279.42177372633023,wel_1473
0,8,797,329,-279.42177372633023,wel_1474
0,8,798,268,-279.42177372633023,wel_1475
0,8,797,265,-279.42177372633023,wel_1476
0,8,799,265,-279.42177372633023,wel_1477
0,8,801,269,-279.42177372633023,wel_1478
0,8,799,260,-279.42177372633023,wel_1479
0,8,802,262,-279.42177372633023,wel_1480
0,8,801,260,-279.42177372633023,wel_1481
0,8,799,262,-279.42177372633023,wel_1482
0,8,798,252,-279.42177372633023,wel_1483
0,8,804,253,-279.42177372633023,wel_1484
0,8,804,254,-279.42177372633023,wel_1485
0,8,806,248,-279.42177372633023,wel_1486
0,8,803,249,-279.42177372633023,wel_1487
0,8,808,250,-279.42177372633023,wel_1488
0,8,809,249,-279.42177372633023,wel_1489
0,8,811,249,-279.42177372633023,wel_1490
0,8,808,252,-279.42177372633023,wel_1491
0,8,810,255,-279.42177372633023,wel_1492
0,8,810,257,-279.42177372633023,wel_1493
0,8,805,261,-279.42177372633023,wel_1494
0,8,811,263,-279.42177372633023,wel_1495
0,8,805,266,-279.42177372633023,wel_1496
0,8,806,268,-279.42177372633023,wel_1497
0,8,805,270,-279.42177372633023,wel_1498
0,8,809,270,-279.42177372633023,wel_1499
0,8,810,273,-279.42177372633023,wel_1500
0,8,810,275,-279.42177372633023,wel_1501
0,8,808,275,-279.42177372633023,wel_1502
0,8,808,278,-279.42177372633023,wel_1503
