#rno k i j rlen rwid rgrd rtp rbth rhk man ncon ustrf ndv line_id
1 1 684 569 100.36323 35.44864463806152 0.0003483136851321 200.29073333740237 1 1.0 0.0370000004768371 1 1.0 0 13434587
2 1 685 568 177.14517 35.45321273803711 0.0002738388800878 200.25577545166016 1 1.0 0.0370000004768371 2 1.0 0 13434595
3 1 686 567 194.19916 35.45822742806971 0.0002469918698369 200.20726621611408 1 1.0 0.0370000004768371 2 1.0 0 13434609
4 1 686 566 218.9435 35.4630769865279 0.0001958472226557 200.1593006030293 1 1.0 0.0370000004768371 2 1.0 0 13434609
5 1 687 565 150.3907 35.46741231158523 0.0002872683631016 200.11642112728128 1 1.0 0.0370000004768371 2 1.0 0 13434609
6 1 687 564 221.72578 35.471780295025106 0.0001686030925537 200.0732186366949 1 1.0 0.0370000004768371 2 1.0 0 13434609
7 1 687 563 100.2711 35.475559965472655 0.000233924878798 200.03583498376267 1 1.0 0.0370000004768371 2 1.0 0 13434609
8 1 688 563 101.76192 35.47793147243468 0.0004066104426463 200.0123790781686 1 1.0 0.0370000004768371 2 1.0 0 13434609
9 1 725 529 110.48136 5.258731916799904 0.0009828546500894 204.430130557066 1 0.2 0.0370000004768371 1 1.0 0 13436935
10 1 724 529 167.14427 5.280265518166857 0.0009542147409867 204.3215434372765 1 0.2 0.0370000004768371 2 1.0 0 13436935
11 1 723 530 240.62915 5.3118938272476255 0.0008024028620823 204.16205190920516 1 0.2 0.0370000004768371 2 1.0 0 13436935
12 1 722 531 253.02397 5.3501832714189765 0.0006926168902767 203.96897039023125 1 0.2 0.0370000004768371 2 1.0 0 13436935
13 1 721 532 195.03589 5.38493633553771 0.0008364808543584 203.79372171388556 1 0.2 0.0370000004768371 2 1.0 0 13436935
14 1 688 562 223.246 35.48201348152208 0.0002379251776236 199.97100162000623 1 1.0 0.0370000004768371 2 1.0 0 13434621
15 1 689 561 177.86072 35.48720146980333 0.0001666965934868 199.91788577527967 1 1.0 0.0370000004768371 2 1.0 0 13434621
16 1 720 532 205.65591 5.442139214744792 0.0008373535327462 203.63057792709876 1 0.2 0.0370000004768371 2 1.0 0 13436875
17 1 719 532 202.07379 5.469473737640533 0.0008461014058028 203.4583712207239 1 0.2 0.0370000004768371 2 1.0 0 13436875
18 1 718 532 202.73938 5.496612737846902 0.0006881049006518 203.2873963016565 1 0.2 0.0370000004768371 2 1.0 0 13436875
19 1 717 532 127.565636 5.518756642467632 0.0010959459602783 203.14789034080405 1 0.2 0.0370000004768371 2 1.0 0 13436875
20 1 716 531 203.4473 5.540948020677406 0.0008460531135626 203.00808529770896 1 0.2 0.0370000004768371 2 1.0 0 13436875
21 1 715 531 204.09438 5.568269926368198 0.0008459711138092 202.83595807936163 1 0.2 0.0370000004768371 2 1.0 0 13436875
22 1 714 531 204.70346 5.595676074969804 0.0008416501329971 202.66330013310437 1 0.2 0.0370000004768371 2 1.0 0 13436875
23 1 713 531 203.2206 5.623023611979487 0.0007800653401981 202.4910114381868 1 0.2 0.0370000004768371 2 1.0 0 13436875
24 1 712 531 172.1161 5.64818648005454 0.0009229070300615 202.33248609458823 1 0.2 0.0370000004768371 2 1.0 0 13436875
25 1 711 530 203.98256 5.673400430726182 0.0008467007420178 202.1736389321036 1 0.2 0.0370000004768371 2 1.0 0 13436875
26 1 710 530 204.94383 5.700815188570275 0.0019249387450961 202.0009267478668 1 0.2 0.0370000004768371 2 1.0 0 13436875
27 1 689 560 143.13654 35.50244331359863 0.0001272115961931 199.8882369995117 1 1.0 0.0370000004768371 2 1.0 0 13434625
28 1 709 529 246.47552 6.137653589248657 0.0015150710773358 201.6064224243164 1 0.2 0.0370000004768371 2 1.0 0 13436733
29 1 689 559 203.35316 35.5069127795605 0.0001 199.8700283723388 1 1.0 0.0370000004768371 2 1.0 0 13435241
30 1 689 558 127.604935 35.5118059188264 0.0001558918268907 199.85031483647285 1 1.0 0.0370000004768371 2 1.0 0 13435241
31 1 690 558 206.35887 35.51674349564477 0.0001734247373982 199.83042227008335 1 1.0 0.0370000004768371 2 1.0 0 13435241
32 1 592 569 177.36238 6.19883955284047 0.0001 210.2617950439453 1 0.2 0.0370000004768371 1 1.0 0 13433723
33 1 593 569 215.50987 6.250816554229735 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
34 1 594 569 147.66096 6.29886405997524 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
35 1 595 568 230.19157 6.3488539630853085 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
36 1 596 568 144.63112 6.398443001361337 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
37 1 597 567 200.95706 6.444164331506324 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
38 1 598 568 148.06055 6.490339360895218 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
39 1 599 568 201.98532 6.536650437072662 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
40 1 600 568 207.8194 6.590867601694217 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
41 1 601 568 101.316765 6.6317663283536366 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
42 1 601 567 108.653175 6.65954535776553 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
43 1 602 567 209.32002 6.701613208251707 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
44 1 603 567 208.61702 6.756906247156206 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
45 1 604 567 159.03156 6.805546139443418 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
46 1 605 566 230.03104 6.857019112432713 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
47 1 606 566 101.56583 6.90088942136812 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
48 1 606 565 189.70268 6.93942425432699 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
49 1 607 564 172.10179 6.987291018425529 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
50 1 608 564 174.8856 7.033197378016906 0.0001 210.2617950439453 1 0.2 0.0370000004768371 2 1.0 0 13433723
