total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
7,1.000000000000000,1,1,1,7,44.69781984488515,1,,289135
22,1.000000000000000,1,1,2,15,-39.59202118282414,1,,288566
39,1.000000000000000,1,1,3,17,-19.55226348510389,1,,4720994
56,1.000000000000000,1,1,4,17,-18.63863639628784,1,,4720994
72,1.000000000000000,1,1,5,16,-17.79640067783639,1,,4720994
87,1.000000000000000,1,1,6,15,-16.97888201237238,1,,4720994
102,1.000000000000000,1,1,7,15,-16.19483679664793,1,,4720994
117,1.000000000000000,1,1,8,15,-15.44737827704942,1,,4720994
133,1.000000000000000,1,1,9,16,-9.985682068091648,1,,275499
150,1.000000000000000,1,1,10,17,-7.660975992475215,1,,338044
169,1.000000000000000,1,1,11,19,-5.993366814017776,1,,292576
188,1.000000000000000,1,1,12,19,-6.465625680447886,1,,103608
208,1.000000000000000,1,1,13,20,5.204234692327020,1,,4754479
230,1.000000000000000,1,1,14,22,5.175559243194215,1,,4743205
251,1.000000000000000,1,1,15,21,5.076510769986243,1,,4748875
275,1.000000000000000,1,1,16,24,5.049248466913326,1,,4748875
293,1.000000000000000,1,1,17,18,4.748489945828567,1,,4748875
314,1.000000000000000,1,1,18,21,4.970080619841355,1,,4748875
333,1.000000000000000,1,1,19,19,4.310707892498755,1,,4748875
358,1.000000000000000,1,1,20,25,4.374183700658847,1,,4743185
377,1.000000000000000,1,1,21,19,3.831832813578160,1,,4743185
404,1.000000000000000,1,1,22,27,3.615516109784835,1,,4743185
419,1.000000000000000,1,1,23,15,2.629411569105571,1,,4743185
451,1.000000000000000,1,1,24,32,3.497579737037938,1,,4743185
486,1.000000000000000,1,1,25,35,3.089432889455850,1,,4743185
514,1.000000000000000,1,1,26,28,2.735084262161877,1,,4743185
542,1.000000000000000,1,1,27,28,2.684480041764971,1,,4743185
573,1.000000000000000,1,1,28,31,2.430284450966667,1,,4743185
598,1.000000000000000,1,1,29,25,3.001095239507208,1,,4743185
629,1.000000000000000,1,1,30,31,2.256772427049071,1,,4743185
654,1.000000000000000,1,1,31,25,2.655364195153112,1,,4743185
679,1.000000000000000,1,1,32,25,2.369196802664987,1,,4743185
705,1.000000000000000,1,1,33,26,2.301597532369669,1,,4743185
730,1.000000000000000,1,1,34,25,2.382007761400899,1,,4743185
736,1.000000000000000,1,1,35,6,-1.208307752793019,1,,2759282
768,1.000000000000000,1,1,36,32,-1.689787034484397,1,,2759282
799,1.000000000000000,1,1,37,31,-1.984459714482227,1,,2759282
831,1.000000000000000,1,1,38,32,-1.627361329320365,1,,2759282
855,1.000000000000000,1,1,39,24,-1.635442644707041,1,,2759282
862,1.000000000000000,1,1,40,7,-1.041059735149162,1,,2759282
871,1.000000000000000,1,1,41,9,-1.574909998385522,1,,2759282
906,1.000000000000000,1,1,42,35,-1.405996979736273,1,,2759282
913,1.000000000000000,1,1,43,7,-.8960917228129119,1,,2759282
925,1.000000000000000,1,1,44,12,-1.797624860402181,1,,2759282
945,1.000000000000000,1,1,45,20,-1.275221664148404,1,,2759282
969,1.000000000000000,1,1,46,24,-.9408642024389167,1,,2759282
974,1.000000000000000,1,1,47,5,-.4824586158259478,1,,2759282
981,1.000000000000000,1,1,48,7,-.3179822646020796,1,,2759282
1002,1.000000000000000,1,1,49,21,-.5480912610599091,1,,4671106
1006,1.000000000000000,1,1,50,4,-.1793749088414529,1,,2759282
1011,1.000000000000000,1,1,51,5,-.1111815270145087,1,,2759282
1014,1.000000000000000,1,1,52,3,-.6414013458041268E-01,1,,2759282
